"","x","y","dist","tc","lstmax","ai","dist_tree"
"2742392",-54.7400096476924,-2.41763592415087,107.874000549316,0.484913200139999,45.01122782,0.985212802886963,1780.458984375
"2742393",-54.7394706585219,-2.41763592415087,92.6455535888672,0.228194445371628,46.39894394,0.962410688400269,1805.01428222656
"2742394",-54.7389316693515,-2.41763592415087,92.6455535888672,0.228194445371628,47.53030856,0.962410688400269,1830.81286621094
"2742395",-54.738392680181,-2.41763592415087,92.6455535888672,0.228194445371628,46.7339099,0.99869704246521,1846.40356445312
"2742396",-54.7378536910105,-2.41763592415087,74.8671493530273,0.228489577770233,47.6875374800001,0.99869704246521,1845.73022460938
"2742397",-54.73731470184,-2.41763592415087,74.8671493530273,0.228489577770233,48.2891090000001,0.965090394020081,1845.06091308594
"2742398",-54.7367757126696,-2.41763592415087,74.8671493530273,0.228489577770233,48.8325741800001,0.965090394020081,1845.73022460938
"2742399",-54.7362367234991,-2.41763592415087,74.8671493530273,0.228489577770233,49.22564648,0.867623627185822,1847.40405273438
"2742441",-54.7135991783393,-2.41763592415087,13.2700538635254,0.105868056416512,47.73880778,0.977505087852478,3141.62866210938
"2742442",-54.7130601891688,-2.41763592415087,13.2700538635254,0.105868056416512,49.29400688,0.977505087852478,3186.20825195312
"2742443",-54.7125211999983,-2.41763592415087,13.2700538635254,0.105868056416512,50.02546316,0.922537922859192,3231.28515625
"2742444",-54.7119822108279,-2.41763592415087,13.2700538635254,0.105868056416512,49.3623672800001,0.922537922859192,3276.83862304688
"2746653",-54.7432435827152,-2.41817491332134,94.54443359375,0.375833332538605,46.63478732,0.972899913787842,1572.96179199219
"2746654",-54.7427045935448,-2.41817491332134,94.54443359375,0.375833332538605,46.6484594,0.934543490409851,1612.0185546875
"2746655",-54.7421656043743,-2.41817491332134,94.54443359375,0.375833332538605,46.77834416,0.934543490409851,1641.14868164062
"2746656",-54.7416266152038,-2.41817491332134,223.415725708008,0.539375007152557,45.26757932,0.977270722389221,1660.25012207031
"2746657",-54.7410876260333,-2.41817491332134,223.415725708008,0.539375007152557,44.61131948,0.977270722389221,1680.15209960938
"2746658",-54.7405486368629,-2.41817491332134,223.415725708008,0.539375007152557,45.03857198,0.989960372447968,1701.93395996094
"2746659",-54.7400096476924,-2.41817491332134,223.415725708008,0.539375007152557,44.28660758,0.989960372447968,1725.52429199219
"2746660",-54.7394706585219,-2.41817491332134,514.203735351562,0.845277786254883,44.79931058,0.990544021129608,1750.85009765625
"2746661",-54.7389316693515,-2.41817491332134,514.203735351562,0.845277786254883,46.05714194,0.990544021129608,1776.59265136719
"2746662",-54.738392680181,-2.41817491332134,514.203735351562,0.845277786254883,46.42970612,0.99997866153717,1787.44421386719
"2746663",-54.7378536910105,-2.41817491332134,272.08251953125,0.583229184150696,48.1011179,0.99997866153717,1785.75476074219
"2746664",-54.73731470184,-2.41817491332134,272.08251953125,0.583229184150696,49.03081934,0.982840776443481,1785.06286621094
"2746665",-54.7367757126696,-2.41817491332134,272.08251953125,0.583229184150696,49.2974249,0.982840776443481,1785.75476074219
"2746666",-54.7362367234991,-2.41817491332134,272.08251953125,0.583229184150696,49.15045004,0.922549188137054,1788.26843261719
"2746667",-54.7356977343286,-2.41817491332134,29.9577007293701,0.121076390147209,47.81742224,0.922549188137054,1792.7841796875
"2746668",-54.7351587451582,-2.41817491332134,29.9577007293701,0.121076390147209,44.17381292,0.965796232223511,1794.86584472656
"2746669",-54.7346197559877,-2.41817491332134,29.9577007293701,0.121076390147209,40.94720204,0.965796232223511,0
"2746705",-54.7152161458507,-2.41817491332134,5.61123418807983,0.0226388890296221,49.45807184,0.920141339302063,2969.25439453125
"2746706",-54.7146771566802,-2.41817491332134,5.61123418807983,0.0226388890296221,49.6734071,0.951713383197784,3011.79907226562
"2746707",-54.7141381675098,-2.41817491332134,5.61123418807983,0.0226388890296221,49.03081934,0.951713383197784,0
"2746708",-54.7135991783393,-2.41817491332134,21.2598209381104,0.0427951402962208,48.5386244600001,0.896103918552399,3103.69995117188
"2746709",-54.7130601891688,-2.41817491332134,21.2598209381104,0.0427951402962208,49.314515,0.896103918552399,3146.69995117188
"2746710",-54.7125211999983,-2.41817491332134,21.2598209381104,0.0427951402962208,49.61871878,0.91847825050354,3192.33471679688
"2746711",-54.7119822108279,-2.41817491332134,21.2598209381104,0.0427951402962208,49.39654748,0.91847825050354,3238.43603515625
"2746712",-54.7114432216574,-2.41817491332134,72.4815902709961,0.217083334922791,48.63432902,0.941141843795776,3284.12622070312
"2746713",-54.7109042324869,-2.41817491332134,72.4815902709961,0.217083334922791,47.7593159,0.941141843795776,3296.15454101562
"2746714",-54.7103652433165,-2.41817491332134,72.4815902709961,0.217083334922791,47.8276763,0.945207476615906,3253.28271484375
"2750920",-54.7432435827152,-2.41871390249181,94.54443359375,0.375833332538605,47.3491535000001,0.972899913787842,1528.17761230469
"2750921",-54.7427045935448,-2.41871390249181,94.54443359375,0.375833332538605,46.66896752,0.934543490409851,1563.51635742188
"2750922",-54.7421656043743,-2.41871390249181,94.54443359375,0.375833332538605,46.54250078,0.934543490409851,1584.79321289062
"2750923",-54.7416266152038,-2.41871390249181,223.415725708008,0.539375007152557,45.89991302,0.977270722389221,1603.44323730469
"2750924",-54.7410876260333,-2.41871390249181,223.415725708008,0.539375007152557,45.90674906,0.977270722389221,1624.04162597656
"2750925",-54.7405486368629,-2.41871390249181,223.415725708008,0.539375007152557,46.3579277,0.989960372447968,1646.56579589844
"2750926",-54.7400096476924,-2.41871390249181,223.415725708008,0.539375007152557,43.83884696,0.989960372447968,1670.93798828125
"2750927",-54.7394706585219,-2.41871390249181,514.203735351562,0.845277786254883,41.9999522000001,0.990544021129608,1697.07861328125
"2750928",-54.7389316693515,-2.41871390249181,514.203735351562,0.845277786254883,44.5463771,0.990544021129608,1722.11499023438
